[2023-03-08 20:21:53,590][demo3.py][line:280][INFO] Epoch:[8/8]	 step:[50] 	 loss=0.72882	 accu=0.790 	 auc=0.887
[2023-03-08 20:21:53,684][demo3.py][line:280][INFO] Epoch:[8/9]	 step:[50] 	 loss=0.73344	 accu=0.785 	 auc=0.890
[2023-03-08 20:21:53,783][demo3.py][line:280][INFO] Epoch:[8/10]	 step:[50] 	 loss=0.74249	 accu=0.767 	 auc=0.885
[2023-03-08 20:21:53,876][demo3.py][line:280][INFO] Epoch:[8/11]	 step:[50] 	 loss=0.73732	 accu=0.780 	 auc=0.878
[2023-03-08 20:21:53,968][demo3.py][line:280][INFO] Epoch:[8/12]	 step:[50] 	 loss=0.74290	 accu=0.771 	 auc=0.887
[2023-03-08 20:21:53,994][demo3.py][line:280][INFO] Epoch:[8/13]	 step:[50] 	 loss=0.73365	 accu=0.780 	 auc=0.880
[2023-03-08 20:21:54,091][demo3.py][line:280][INFO] Epoch:[8/14]	 step:[50] 	 loss=0.73050	 accu=0.787 	 auc=0.894
[2023-03-08 20:21:57,533][demo3.py][line:287][INFO] 测试 Epoch:[8/50]	 loss=0.72584	 accu=0.795 auc=0.859
[2023-03-08 20:22:04,894][demo3.py][line:280][INFO] Epoch:[9/0]	 step:[50] 	 loss=0.72955	 accu=0.790 	 auc=0.884
[2023-03-08 20:22:05,072][demo3.py][line:280][INFO] Epoch:[9/1]	 step:[50] 	 loss=0.73001	 accu=0.786 	 auc=0.880
[2023-03-08 20:22:05,169][demo3.py][line:280][INFO] Epoch:[9/2]	 step:[50] 	 loss=0.73223	 accu=0.784 	 auc=0.879
[2023-03-08 20:22:05,191][demo3.py][line:280][INFO] Epoch:[9/3]	 step:[50] 	 loss=0.73265	 accu=0.781 	 auc=0.887
[2023-03-08 20:22:05,385][demo3.py][line:280][INFO] Epoch:[9/4]	 step:[50] 	 loss=0.72857	 accu=0.791 	 auc=0.880
[2023-03-08 20:22:05,487][demo3.py][line:280][INFO] Epoch:[9/5]	 step:[50] 	 loss=0.72149	 accu=0.798 	 auc=0.884
[2023-03-08 20:22:05,586][demo3.py][line:280][INFO] Epoch:[9/6]	 step:[50] 	 loss=0.73034	 accu=0.785 	 auc=0.883
[2023-03-08 20:22:05,768][demo3.py][line:280][INFO] Epoch:[9/7]	 step:[50] 	 loss=0.71872	 accu=0.808 	 auc=0.890
[2023-03-08 20:22:05,867][demo3.py][line:280][INFO] Epoch:[9/8]	 step:[50] 	 loss=0.72716	 accu=0.791 	 auc=0.879
[2023-03-08 20:22:05,892][demo3.py][line:280][INFO] Epoch:[9/9]	 step:[50] 	 loss=0.71946	 accu=0.801 	 auc=0.888
[2023-03-08 20:22:05,987][demo3.py][line:280][INFO] Epoch:[9/10]	 step:[50] 	 loss=0.72913	 accu=0.788 	 auc=0.881
[2023-03-08 20:22:06,085][demo3.py][line:280][INFO] Epoch:[9/11]	 step:[50] 	 loss=0.71553	 accu=0.813 	 auc=0.891
[2023-03-08 20:22:06,183][demo3.py][line:280][INFO] Epoch:[9/12]	 step:[50] 	 loss=0.73103	 accu=0.788 	 auc=0.881
[2023-03-08 20:22:06,279][demo3.py][line:280][INFO] Epoch:[9/13]	 step:[50] 	 loss=0.72953	 accu=0.789 	 auc=0.885
